attempts_on_target_from_inside_the_area,name,id,yellow_cards,fouls_suffered,role,attempts_inside_the_area,crosses_attempted,corners,distance_covered__km_,height,top_speed__km_h_,recovered_balls,country,penalties_scored,distance_covered_in_possession__km_,shots_blocked,fouls_causing_penalty,goals_scored_by_backheel,total_passes,short_passes_completed,age,attempts_outside_the_area,offsides,medium_passes_completed,red_cards,jerseynum,tackles_suffered,clearances,attempts_on_target,headed_goals,attempts_on_target_from_outside_the_area,international_goals,tackles,attempts,goals_scored_with_the_right_foot,blocks,lost_balls,attempts_off_target,save_rate,passes_completed,goals_scored,long_passes_completed,dribbles_into_penalty_area,international_caps,crosses_completed,tackles_won,shots_from_free_kick,goal_kicks_successfully_reaching_a_team_mate,throws,distance_covered_not_in_possession__km_,fouls_committed,deliveries_into_penalty_area,minutes_played,date_of_birth,goals_scored_with_the_left_foot,saves,matches_played,attempts_against_woodwork,assists
5,nikita parris,324590,1,11,forward,8,14,0,54.4,162.0,0,0,england,1,0,1,0,0,194,0,25,2,1,0,0,7,0,6,6,0,1,13,7,10,1,0,0,3,0,148,1,0,0,41,0,0,0,0,0,0,5,0,520,1994-03-10 00:00:00,0,0,7,0,1
2,jill scott,263536,0,4,midfielder,10,10,0,72.3,181.0,0,0,england,0,0,4,0,0,313,0,32,3,0,0,0,8,0,16,3,0,1,24,16,13,1,2,0,6,0,247,1,0,0,143,0,0,0,0,0,0,15,0,618,1987-02-02 00:00:00,0,0,7,0,1
0,demi stokes,301520,0,0,defender,0,3,0,30.1,159.0,0,0,england,0,0,0,0,0,154,0,27,0,0,0,0,12,0,13,0,0,0,1,7,0,0,1,0,0,0,124,0,0,0,54,0,0,0,0,0,0,4,0,270,1991-12-12 00:00:00,0,0,3,0,0
2,beth mead,381318,0,6,forward,2,21,12,32,163.0,0,0,england,0,0,0,0,0,131,0,24,1,3,0,0,22,0,6,2,0,0,5,8,3,0,0,0,1,0,92,0,0,0,19,0,0,0,0,0,0,5,1,296,1995-05-09 00:00:00,0,0,5,0,3
,mary earps,324586,,,goalkeeper,,,,,173.0,,,england,,,,,,,,26,,,,,21,,,,,,0,,,,,,,,,,,,5,,,,,,,,,,1993-03-07 00:00:00,,,,,
2,jodie taylor,387139,0,0,forward,5,0,0,17,169.0,0,0,england,0,0,2,0,0,31,0,33,0,4,0,0,9,0,1,2,0,0,18,3,5,1,0,0,1,0,25,1,0,0,46,0,0,0,0,0,0,0,0,156,1986-05-17 00:00:00,0,0,3,0,0
0,carly telford,267311,0,1,goalkeeper,0,0,0,11.9,174.0,0,0,england,0,0,0,0,0,35,0,32,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,71.4,31,0,0,0,21,0,0,0,0,0,0,0,0,270,1987-07-07 00:00:00,0,10,3,0,0
1,fran kirby,387137,0,2,forward,2,4,0,51.2,158.0,0,0,england,0,0,2,0,0,219,0,26,2,0,0,0,10,0,3,1,0,0,13,3,4,0,0,0,1,0,172,1,0,0,45,0,0,0,0,0,0,2,0,457,1993-06-29 00:00:00,1,0,6,0,1
0,keira walsh,420184,0,0,midfielder,0,2,0,44.8,167.0,0,0,england,0,0,1,0,0,256,0,22,3,0,0,0,4,0,7,1,0,1,0,4,3,0,1,0,1,0,214,0,0,0,20,0,0,0,0,0,0,4,0,413,1997-04-08 00:00:00,0,0,5,0,0
0,karen bardsley,236881,0,0,goalkeeper,0,0,0,21.4,182.0,0,0,england,0,0,0,0,0,67,0,34,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,93.3,57,0,0,0,81,0,0,0,0,0,0,0,0,360,1984-10-14 00:00:00,0,14,4,0,0
0,lucy staniforth,300653,0,0,midfielder,0,1,1,1.3,166.0,0,0,england,0,0,0,0,0,9,0,26,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,12,1992-10-02 00:00:00,0,0,1,0,0
0,abbie mcmanus,420183,0,1,defender,0,0,1,19.2,172.0,0,0,england,0,0,0,0,0,185,0,26,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,16,0,0,0,0,0,0,0,1,208,1993-01-14 00:00:00,0,0,3,0,0
11,ellen white,295612,0,9,forward,17,3,0,58.1,170.0,0,0,england,0,0,2,0,0,90,0,30,2,5,0,0,18,0,4,12,0,1,34,4,19,2,0,0,5,0,72,6,0,0,88,0,0,0,0,0,0,5,0,514,1989-05-09 00:00:00,4,0,6,0,0
1,rachel daly,300643,0,3,defender,2,6,0,22,167.0,0,0,england,0,0,0,0,0,69,0,27,0,0,0,0,17,0,9,1,0,0,3,6,2,0,0,0,1,0,47,0,0,0,27,0,0,0,0,0,0,2,0,191,1991-12-06 00:00:00,0,0,5,0,0
2,steph houghton,267316,0,4,defender,4,0,0,67.6,174.0,0,0,england,0,0,0,0,0,433,0,31,1,0,0,0,5,0,25,2,0,0,13,13,5,1,1,0,3,0,367,1,0,0,112,0,0,2,0,0,0,2,1,630,1988-04-23 00:00:00,0,0,7,0,0
0,leah williamson,381329,0,0,defender,0,0,0,0.7,170.0,0,0,england,0,0,0,0,0,2,0,22,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,6,1997-03-29 00:00:00,0,0,1,0,0
1,toni duggan,295624,0,1,forward,2,8,9,25.8,168.0,0,0,england,0,0,0,0,0,114,0,27,1,1,0,0,11,0,8,1,0,0,22,8,3,0,0,0,2,0,86,0,0,0,75,0,0,0,0,0,0,0,0,227,1991-07-25 00:00:00,0,0,3,0,2
0,christine manie,265893,1,0,defender,1,0,0,16.7,160.0,0,0,cameroon,0,0,0,0,0,32,0,35,0,0,0,0,2,0,6,0,0,0,10,3,1,0,1,0,1,0,14,0,0,0,84,0,0,0,0,0,0,1,0,180,1984-05-04 00:00:00,0,0,2,0,0
2,ajara nchout,356773,0,1,forward,3,3,5,30.1,164.0,0,0,cameroon,0,0,0,0,0,90,0,26,1,0,0,0,3,0,2,2,0,0,13,1,4,1,0,0,2,0,61,2,0,0,48,0,0,0,0,0,0,10,0,277,1993-01-12 00:00:00,1,0,4,0,0
0,claudine meffometou,356790,0,0,defender,1,1,0,19.2,163.0,0,0,cameroon,0,0,0,0,0,67,0,29,1,0,0,0,12,0,4,0,0,0,2,1,2,0,0,0,2,0,39,0,0,0,41,0,0,0,0,0,0,1,0,180,1990-07-01 00:00:00,0,0,2,0,0
0,raissa feudjio,356785,1,4,midfielder,0,2,0,38.7,162.0,0,0,cameroon,0,0,2,0,0,139,0,23,5,0,0,0,8,0,11,1,0,1,3,8,5,0,1,0,2,0,92,0,0,0,49,0,0,0,0,0,0,6,0,360,1995-10-29 00:00:00,0,0,4,0,1
,madeleine ngono mani,197630,,,forward,,,,,160.0,,,cameroon,,,,,,,,35,,,,,9,,,,,,49,,,,,,,,,,,,105,,,,,,,,,,1983-10-16 00:00:00,,,,,
2,alexandra takounda,397461,2,0,forward,3,2,0,8.7,172.0,0,0,cameroon,0,0,0,0,0,19,0,19,0,2,0,0,21,0,0,2,0,0,0,0,3,0,0,0,1,0,12,0,0,0,4,0,0,0,0,0,0,3,0,73,2000-07-07 00:00:00,0,0,2,0,0
0,estelle johnson,420454,0,0,defender,0,0,0,35.3,168.0,0,0,cameroon,0,0,0,0,0,81,0,30,0,0,0,0,6,0,20,0,0,0,0,8,0,0,2,0,0,0,53,0,0,0,6,0,0,0,0,0,0,0,0,360,1988-07-21 00:00:00,0,0,4,0,0
0,gaelle enganamouit,356783,1,1,forward,1,2,0,18.4,171.0,0,0,cameroon,0,0,1,0,0,34,0,27,6,1,0,0,17,0,6,1,0,1,0,2,7,0,0,0,5,0,18,0,0,0,4,0,0,0,0,0,0,3,0,204,1992-06-09 00:00:00,0,0,4,0,0
0,henriette akaba,356776,0,2,forward,1,0,2,4.1,160.0,0,0,cameroon,0,0,1,0,0,11,0,27,0,0,0,0,18,0,0,0,0,0,7,0,1,0,0,0,0,0,4,0,0,0,52,0,0,0,0,0,0,1,0,38,1992-06-07 00:00:00,0,0,2,0,0
,isabelle mambingo,420456,,,goalkeeper,,,,,170.0,,,cameroon,,,,,,,,34,,,,,16,,,,,,0,,,,,,,,,,,,12,,,,,,,,,,1985-04-10 00:00:00,,,,,
0,annette ngo ndom,356786,0,1,goalkeeper,0,0,0,19.1,171.0,0,0,cameroon,0,0,0,0,0,19,0,34,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,46.7,8,0,0,0,48,0,0,0,0,0,0,1,0,360,1985-06-02 00:00:00,0,7,4,0,0
0,augustine ejangue,265899,0,0,defender,0,0,0,15.8,158.0,0,0,cameroon,0,0,0,0,0,63,0,30,1,0,0,0,5,0,6,0,0,0,0,0,1,0,0,0,1,0,40,0,0,0,2,0,0,0,0,0,0,3,0,154,1989-01-19 00:00:00,0,0,2,0,0
0,jeannette yango,356774,0,3,midfielder,0,0,0,38.8,159.0,0,0,cameroon,0,0,1,0,0,123,0,26,3,0,0,0,10,0,8,1,0,1,5,9,3,0,1,0,1,0,89,0,0,0,68,0,0,0,0,0,0,7,0,346,1993-06-12 00:00:00,0,0,4,0,0
,marthe ongmahan,420457,,,goalkeeper,,,,,167.0,,,cameroon,,,,,,,,27,,,,,23,,,,,,0,,,,,,,,,,,,5,,,,,,,,,,1992-06-12 00:00:00,,,,,
0,aurelle awona,387119,0,1,defender,0,1,0,28.4,171.0,0,0,cameroon,0,0,0,0,0,67,0,26,0,0,0,0,11,0,22,0,0,0,0,7,0,0,1,0,0,0,38,0,0,0,19,0,0,0,0,0,0,5,0,270,1993-02-02 00:00:00,0,0,3,0,0
0,ysis sonkeng,353724,0,0,defender,1,4,1,2.6,165.0,0,0,cameroon,0,0,0,0,0,8,0,29,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,57,0,0,0,0,0,0,0,0,26,1989-09-20 00:00:00,0,0,1,0,0
0,charlene meyong,387258,0,0,midfielder,0,0,0,4.3,164.0,0,0,cameroon,0,0,0,0,0,23,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18,0,0,0,0,0,0,1,0,32,1998-11-19 00:00:00,0,0,2,0,0
3,gabrielle aboudi onguene,353725,0,7,forward,6,8,3,36.3,153.0,0,0,cameroon,0,0,2,0,0,61,0,30,5,6,0,0,7,0,3,4,0,1,16,3,11,0,0,0,5,0,32,1,0,0,57,0,0,0,0,0,0,2,0,360,1989-02-25 00:00:00,1,0,4,0,0
0,ninon abena,387163,0,0,midfielder,0,0,0,3.8,168.0,0,0,cameroon,0,0,1,0,0,10,0,24,3,0,0,0,14,0,1,1,0,1,6,0,3,0,0,0,1,0,8,0,0,0,18,0,0,0,0,0,0,0,0,28,1994-09-05 00:00:00,0,0,2,0,0
0,michaela abam,420453,0,4,forward,1,2,0,24.7,170.0,0,0,cameroon,0,0,0,0,0,44,0,22,1,3,0,0,22,0,3,0,0,0,0,4,2,0,0,0,2,0,25,0,0,0,3,0,0,0,0,0,0,1,0,218,1997-06-12 00:00:00,0,0,3,0,0
0,yvonne leuko,356775,1,2,defender,0,3,0,38.2,163.0,0,0,cameroon,0,0,0,0,0,142,0,27,1,0,0,0,4,0,20,0,0,0,0,8,1,0,3,0,1,0,75,0,0,0,51,0,0,0,0,0,0,5,1,360,1991-11-20 00:00:00,0,0,4,0,1
0,genevieve ngo mbeleck,387116,1,0,midfielder,0,1,1,7,159.0,0,0,cameroon,0,0,1,0,0,18,0,26,1,0,0,0,20,0,1,0,0,0,1,1,1,0,0,0,0,0,10,0,0,0,33,0,0,0,0,0,0,2,0,66,1993-03-10 00:00:00,0,0,1,0,0
0,marlyse ngo ndoumbouk,265903,1,0,midfielder,0,0,0,7.6,180.0,0,0,cameroon,0,0,0,0,0,11,0,34,0,0,0,0,19,0,2,0,0,0,8,0,0,0,1,0,0,0,9,0,0,0,37,0,0,0,0,0,0,1,0,68,1985-01-03 00:00:00,0,0,1,0,0
0,refiloe jane,356922,0,1,midfielder,0,3,1,27.6,159.0,0,0,south africa,0,0,0,0,0,80,0,26,0,0,0,0,15,0,7,0,0,0,12,5,0,0,0,0,0,0,50,0,0,0,108,0,0,0,0,0,0,0,0,262,1992-08-04 00:00:00,0,0,3,0,0
0,rhoda mulaudzi,395383,1,1,forward,1,0,0,4.8,154.0,0,0,south africa,0,0,1,0,0,9,0,29,1,1,0,0,22,0,0,0,0,0,2,0,2,0,0,0,1,0,4,0,0,0,24,0,0,0,0,0,0,1,0,45,1989-12-02 00:00:00,0,0,1,0,0
0,linda motlhalo,395368,0,1,midfielder,0,0,0,7,162.0,0,0,south africa,0,0,0,0,0,15,0,21,0,0,0,0,10,0,1,0,0,0,10,1,0,0,1,0,0,0,10,0,0,0,45,0,0,0,0,0,0,0,0,60,1998-07-01 00:00:00,0,0,2,0,1
0,sibulele holweni,415569,0,1,midfielder,0,0,0,7.7,156.0,0,0,south africa,0,0,0,0,0,38,0,18,0,0,0,0,23,0,1,0,0,0,0,1,0,0,1,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,72,2001-04-28 00:00:00,0,0,1,0,0
,tiisetso makhubela,420050,,,defender,,,,,161.0,,,south africa,,,,,,,,22,,,,,14,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,1997-04-24 00:00:00,,,,,
0,ode fulutudilu,420047,0,2,forward,0,0,0,19.8,165.0,0,0,south africa,0,0,0,0,0,14,0,29,0,0,0,0,8,0,1,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,1,0,182,1990-02-06 00:00:00,0,0,3,0,0
0,janine van wyk,265836,1,4,defender,0,0,0,28.6,164.0,0,0,south africa,0,0,0,1,0,113,0,32,1,0,0,0,5,0,19,0,0,0,11,9,1,0,6,0,1,0,79,0,0,0,169,0,0,0,0,0,0,1,0,270,1987-04-17 00:00:00,0,0,3,0,0
0,busisiwe ndimeni,420054,0,0,midfielder,0,0,0,14.2,160.0,0,0,south africa,0,0,1,0,0,29,0,28,1,0,0,0,21,0,3,0,0,0,3,7,1,0,0,0,0,0,19,0,0,0,29,0,0,0,0,0,0,1,0,128,1991-06-25 00:00:00,0,0,2,0,0
0,kaylin swart,325696,0,0,goalkeeper,0,0,0,4.7,165.0,0,0,south africa,0,0,0,0,0,34,0,24,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,66.7,13,0,0,0,19,0,0,0,0,0,0,0,0,90,1994-09-30 00:00:00,0,2,1,0,0
0,andile dlamini,356927,0,0,goalkeeper,0,0,0,9.1,169.0,0,0,south africa,0,0,0,0,0,37,0,26,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,70.8,33,0,0,0,42,0,0,0,0,0,0,0,0,180,1992-09-02 00:00:00,0,17,2,0,0
0,noko matlou,317863,1,3,defender,1,1,0,28.7,166.0,0,0,south africa,0,0,0,0,0,94,0,33,0,0,0,0,4,0,17,0,0,0,64,11,1,0,1,0,1,0,66,0,0,0,156,0,0,0,0,0,0,3,0,270,1985-09-30 00:00:00,0,0,3,0,0
0,kholosa biyana,420045,1,6,midfielder,0,3,3,30.3,160.0,0,0,south africa,0,0,0,0,0,82,0,24,1,0,0,0,19,0,8,1,0,1,1,3,1,0,0,0,0,0,60,0,0,0,21,0,0,0,0,0,0,6,0,269,1994-09-06 00:00:00,0,0,3,0,0
0,amanda mthandi,420052,0,2,forward,0,2,0,10.8,160.0,0,0,south africa,0,0,0,0,0,19,0,23,0,0,0,0,9,0,1,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,1,0,101,1996-05-23 00:00:00,0,0,2,0,0
0,bambanani mbane,395379,0,1,defender,0,0,0,9.6,162.0,0,0,south africa,0,0,0,0,0,33,0,29,0,0,0,0,13,0,6,0,0,0,0,3,0,0,2,0,0,0,26,0,0,0,45,0,0,0,0,0,0,0,0,90,1990-03-12 00:00:00,0,0,1,0,0
0,leandra smeda,356917,0,0,midfielder,0,0,0,4.8,165.0,0,0,south africa,0,0,0,0,0,17,0,29,0,0,0,0,17,0,2,0,0,0,22,1,0,0,0,0,0,0,11,0,0,0,98,0,0,0,0,0,0,0,0,32,1989-07-22 00:00:00,0,0,3,0,0
,bongeka gamede,420048,,,defender,,,,,159.0,,,south africa,,,,,,,,20,,,,,18,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,1999-05-22 00:00:00,,,,,
0,jermaine seoposenwe,326444,0,2,forward,0,0,0,6.8,167.0,0,0,south africa,0,0,0,0,0,16,0,25,0,0,0,0,12,0,0,0,0,0,16,0,0,0,1,0,0,0,9,0,0,0,76,0,0,0,0,0,0,1,0,64,1993-10-12 00:00:00,0,0,2,0,0
0,mamello makhabane,330810,0,1,midfielder,0,0,0,21.4,159.0,0,0,south africa,0,0,0,0,0,78,0,31,1,0,0,0,6,0,5,0,0,0,20,5,1,0,0,0,1,0,62,0,0,0,98,0,0,0,0,0,0,1,0,180,1988-02-24 00:00:00,0,0,2,0,0
0,lebohang ramalepe,395378,1,4,defender,0,4,0,28.2,155.0,0,0,south africa,0,0,0,0,0,153,0,27,0,0,0,0,2,0,16,0,0,0,3,14,0,0,3,0,0,0,90,0,0,0,66,0,0,0,0,0,0,4,0,270,1991-12-03 00:00:00,0,0,3,0,0
,mapaseka mpuru,395374,,,goalkeeper,,,,,169.0,,,south africa,,,,,,,,21,,,,,1,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,1998-04-09 00:00:00,,,,,
2,thembi kgatlana,395373,0,1,forward,4,2,0,20.8,156.0,0,0,south africa,0,0,1,0,0,39,0,23,3,3,0,0,11,0,0,3,0,1,18,0,7,1,0,0,3,0,24,1,0,0,56,0,0,0,0,0,0,4,0,225,1996-05-02 00:00:00,0,0,3,0,0
,karabo dhlamini,415578,,,defender,,,,,161.0,,,south africa,,,,,,,,17,,,,,7,,,,,,0,,,,,,,,,,,,5,,,,,,,,,,2001-09-18 00:00:00,,,,,
0,nothando vilakazi,348279,1,2,defender,0,0,2,18.4,160.0,0,0,south africa,0,0,1,1,0,79,0,30,2,0,0,1,3,0,2,0,0,0,7,5,2,0,2,0,1,0,56,0,0,0,132,0,0,1,0,0,0,4,0,171,1988-10-28 00:00:00,0,0,2,0,0
1,ilaria mauro,420252,0,3,forward,2,1,0,11.7,175.0,0,0,italy,0,0,0,0,0,29,0,31,0,0,0,0,18,0,0,1,0,0,15,1,2,0,0,0,1,0,17,0,0,0,49,0,0,0,0,0,0,4,0,97,1988-05-22 00:00:00,0,0,3,0,0
0,martina rosucci,357385,0,0,midfielder,0,0,0,3,171.0,0,0,italy,0,0,0,0,0,7,0,27,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,50,0,0,0,0,0,0,0,0,19,1992-05-09 00:00:00,0,0,1,0,0
1,aurora galli,420246,0,3,midfielder,1,1,0,32.9,161.0,0,0,italy,0,0,0,0,0,81,0,22,3,0,0,0,4,0,5,3,0,2,5,6,4,3,0,0,1,0,60,3,0,0,41,0,0,0,0,0,0,9,0,301,1996-12-13 00:00:00,0,0,5,0,0
,linda tucceri,420260,,,defender,,,,,163.0,,,italy,,,,,,,,28,,,,,20,,,,,,1,,,,,,,,,,,,21,,,,,,,,,,1991-04-04 00:00:00,,,,,
0,alia guagni,217053,1,2,defender,0,10,0,41,170.0,0,0,italy,0,0,0,0,0,199,0,31,2,0,0,0,7,0,16,0,0,0,5,6,2,0,0,0,2,0,126,0,0,0,77,0,0,0,0,0,0,6,0,417,1987-10-01 00:00:00,0,0,5,0,1
,rosalia pipitone,420254,,,goalkeeper,,,,,178.0,,,italy,,,,,,,,33,,,,,22,,,,,,0,,,,,,,,,,,,4,,,,,,,,,,1985-08-03 00:00:00,,,,,
0,lisa boattin,377971,0,1,defender,0,0,1,9.5,160.0,0,0,italy,0,0,0,0,0,35,0,22,1,0,0,0,17,0,0,0,0,0,0,1,1,0,0,0,1,0,23,0,0,0,22,0,0,0,0,0,0,1,0,97,1997-05-03 00:00:00,0,0,3,0,1
1,elisa bartoli,420237,1,3,defender,2,0,0,37.6,160.0,0,0,italy,0,0,0,0,0,139,0,28,0,0,0,0,13,0,12,1,0,0,1,8,2,0,3,0,1,0,106,0,0,0,61,0,0,0,0,0,0,6,0,341,1991-05-07 00:00:00,0,0,5,0,0
0,annamaria serturini,378032,0,1,midfielder,0,0,0,1.6,165.0,0,0,italy,0,0,0,0,0,6,0,21,0,0,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,1,0,15,1998-05-13 00:00:00,0,0,1,0,0
,laura fusetti,420245,,,defender,,,,,165.0,,,italy,,,,,,,,28,,,,,16,,,,,,0,,,,,,,,,,,,6,,,,,,,,,,1990-10-08 00:00:00,,,,,
3,valentina bergamaschi,378022,0,5,midfielder,4,5,0,34.7,168.0,0,0,italy,0,0,1,0,0,89,0,22,1,2,0,0,2,0,6,3,0,0,4,7,5,0,0,0,1,0,48,0,0,0,28,0,0,0,0,0,0,3,0,307,1997-01-22 00:00:00,0,0,5,0,0
1,daniela sabatino,224627,1,1,forward,4,0,0,16.2,165.0,0,0,italy,0,0,1,0,0,18,0,34,1,3,0,0,9,0,0,1,0,0,27,0,5,0,0,0,3,0,13,0,0,0,64,0,0,0,0,0,0,2,0,157,1985-06-26 00:00:00,0,0,3,0,0
0,sara gama,263995,1,3,defender,0,1,0,46.2,168.0,0,0,italy,0,0,0,1,0,152,0,30,1,0,0,0,3,0,16,0,0,0,6,6,1,0,6,0,1,0,110,0,0,0,115,0,0,0,0,0,0,6,0,450,1989-03-27 00:00:00,0,0,5,0,0
0,valentina cernoia,420243,2,9,midfielder,0,12,9,49.2,158.0,0,0,italy,0,0,1,0,0,152,0,28,3,0,0,0,21,0,9,0,0,0,7,12,3,0,1,0,2,0,111,0,0,0,46,0,0,1,0,0,0,4,0,450,1991-06-22 00:00:00,0,0,5,0,1
,alice parisi,330241,,,midfielder,,,,,167.0,,,italy,,,,,,,,28,,,,,8,,,,,,11,,,,,,,,,,,,79,,,,,,,,,,1990-12-11 00:00:00,,,,,
2,valentina giacinti,420247,0,11,forward,7,0,0,31.6,170.0,0,0,italy,0,0,1,0,0,49,0,25,1,3,0,0,19,0,3,2,0,0,7,3,8,0,0,0,5,0,33,1,0,0,30,0,0,0,0,0,0,2,0,274,1994-01-02 00:00:00,1,0,5,0,0
0,laura giuliani,357515,0,0,goalkeeper,0,0,0,24.2,175.0,0,0,italy,0,0,0,0,0,97,0,26,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,85.2,77,0,0,0,44,0,0,0,0,0,0,0,0,450,1993-06-05 00:00:00,0,23,5,0,0
3,barbara bonansea,420238,0,5,midfielder,5,10,0,40.4,173.0,0,0,italy,0,0,3,0,0,100,0,28,5,3,0,0,11,0,6,5,1,2,21,7,10,1,0,0,2,0,58,2,0,0,64,0,0,0,0,0,0,3,0,396,1991-06-13 00:00:00,0,0,5,0,0
0,manuela giugliano,378008,0,7,midfielder,0,5,6,48.6,160.0,0,0,italy,0,0,2,0,0,188,0,21,4,0,0,0,23,0,7,1,0,1,3,11,4,0,1,0,1,0,127,0,0,0,36,0,0,0,0,0,0,3,0,450,1997-08-18 00:00:00,0,0,5,0,3
,stefania tarenzi,420259,,,forward,,,,,170.0,,,italy,,,,,,,,31,,,,,14,,,,,,2,,,,,,,,,,,,10,,,,,,,,,,1988-02-29 00:00:00,,,,,
0,elena linari,357525,1,1,defender,0,1,0,42.3,173.0,0,0,italy,0,0,0,1,0,170,0,25,0,0,0,0,5,0,12,0,0,0,0,7,0,0,8,0,0,0,132,0,0,0,56,0,0,0,0,0,0,3,0,450,1994-04-15 00:00:00,0,0,5,0,0
,chiara marchitelli,217051,,,goalkeeper,,,,,170.0,,,italy,,,,,,,,34,,,,,12,,,,,,0,,,,,,,,,,,,52,,,,,,,,,,1985-05-04 00:00:00,,,,,
3,cristiana girelli,420248,1,7,forward,4,0,0,29.9,174.0,0,0,italy,1,0,2,0,1,108,0,29,1,5,0,0,10,0,5,3,1,0,32,5,5,1,2,0,0,0,68,3,0,0,66,0,0,0,0,0,0,4,0,279,1990-04-23 00:00:00,0,0,4,0,0
,sakiko ikeda,301258,,,goalkeeper,,,,,168.0,,,japan,,,,,,,,26,,,,,1,,,,,,0,,,,,,,,,,,,14,,,,,,,,,,1992-09-08 00:00:00,,,,,
0,moeka minami,377596,0,2,defender,0,0,0,9.2,171.0,0,0,japan,0,0,0,0,0,112,0,20,0,0,0,0,12,0,2,0,0,0,0,1,0,0,1,0,0,0,103,0,0,0,6,0,0,0,0,0,0,0,0,90,1998-12-07 00:00:00,0,0,1,0,0
3,yuika sugasawa,302776,0,6,forward,8,2,0,34.6,168.0,0,0,japan,1,0,0,0,0,79,0,28,3,1,0,0,9,0,1,4,0,1,19,1,11,1,0,0,7,0,61,1,0,0,67,0,0,0,0,0,0,3,0,298,1990-10-05 00:00:00,0,0,4,0,0
0,saki kumagai,298545,1,0,defender,2,0,0,37.5,173.0,0,0,japan,0,0,1,1,0,253,0,28,0,0,0,0,4,0,13,0,0,0,0,3,2,0,6,0,1,0,233,0,0,0,108,0,0,0,0,0,0,3,0,360,1990-10-17 00:00:00,0,0,4,0,0
0,narumi miura,377686,0,2,midfielder,1,0,0,37.4,156.0,0,0,japan,0,0,0,0,0,182,0,22,1,0,0,0,17,0,7,0,0,0,0,8,2,0,0,0,2,0,153,0,0,0,13,0,0,0,0,0,0,5,0,298,1997-07-03 00:00:00,0,0,4,0,0
,mizuho sakaguchi,262379,,,midfielder,,,,,165.0,,,japan,,,,,,,,31,,,,,10,,,,,,29,,,,,,,,,,,,124,,,,,,,,,,1987-10-15 00:00:00,,,,,
0,jun endo,397163,0,1,forward,2,4,2,19.7,167.0,0,0,japan,0,0,1,0,0,72,0,19,0,0,0,0,19,0,2,0,0,0,0,2,2,0,0,0,1,0,53,0,0,0,8,0,0,0,0,0,0,1,1,168,2000-05-24 00:00:00,0,0,3,0,1
0,emi nakajima,324594,0,4,midfielder,2,9,10,38.7,158.0,0,0,japan,0,0,0,0,0,142,0,28,4,0,0,0,7,0,4,2,0,2,14,4,6,0,0,0,4,0,100,0,0,0,74,0,0,0,0,0,0,1,0,326,1990-09-27 00:00:00,0,0,4,0,0
0,kumi yokoyama,325971,0,1,forward,0,0,1,13.3,155.0,0,0,japan,0,0,0,0,0,34,0,25,5,0,0,0,20,0,0,3,0,3,17,0,5,0,0,0,2,0,28,0,0,0,43,0,0,1,0,0,0,0,0,118,1993-08-13 00:00:00,0,0,2,0,0
0,risa shimizu,358082,1,2,defender,0,7,0,40.4,160.0,0,0,japan,0,0,0,0,0,246,0,23,2,0,0,0,22,0,4,0,0,0,0,3,2,0,0,0,2,0,208,0,0,0,28,0,0,0,0,0,0,1,0,360,1996-06-15 00:00:00,0,0,4,0,0
,rumi utsugi,268021,,,defender,,,,,168.0,,,japan,,,,,,,,30,,,,,2,,,,,,6,,,,,,,,,,,,113,,,,,,,,,,1988-12-05 00:00:00,,,,,
,asato miyagawa,377598,,,defender,,,,,160.0,,,japan,,,,,,,,21,,,,,16,,,,,,0,,,,,,,,,,,,5,,,,,,,,,,1998-02-24 00:00:00,,,,,
,shiori miyake,358092,,,defender,,,,,165.0,,,japan,,,,,,,,23,,,,,23,,,,,,0,,,,,,,,,,,,18,,,,,,,,,,1995-10-13 00:00:00,,,,,
2,hina sugita,358283,1,3,midfielder,6,0,0,48.5,162.0,0,0,japan,0,0,2,0,0,244,0,22,2,0,0,0,6,0,13,2,0,0,0,9,8,0,2,0,4,0,202,0,0,0,11,0,0,0,0,0,0,7,0,360,1997-01-31 00:00:00,0,0,4,0,0
