attempts_on_target_from_inside_the_area,name,id,yellow_cards,fouls_suffered,role,attempts_inside_the_area,crosses_attempted,corners,distance_covered__km_,height,top_speed__km_h_,recovered_balls,country,penalties_scored,distance_covered_in_possession__km_,shots_blocked,fouls_causing_penalty,goals_scored_by_backheel,total_passes,short_passes_completed,age,attempts_outside_the_area,offsides,medium_passes_completed,red_cards,jerseynum,tackles_suffered,clearances,attempts_on_target,headed_goals,attempts_on_target_from_outside_the_area,international_goals,tackles,attempts,goals_scored_with_the_right_foot,blocks,lost_balls,attempts_off_target,save_rate,passes_completed,goals_scored,long_passes_completed,dribbles_into_penalty_area,international_caps,crosses_completed,tackles_won,shots_from_free_kick,goal_kicks_successfully_reaching_a_team_mate,throws,distance_covered_not_in_possession__km_,fouls_committed,deliveries_into_penalty_area,minutes_played,date_of_birth,goals_scored_with_the_left_foot,saves,matches_played,attempts_against_woodwork,assists
3,debinha,322658,0,5,forward,8,8,4,43.3,157.0,0,0,brazil,0,0,4,0,0,120,0,27,5,1,0,0,9,0,4,4,0,1,28,4,13,0,0,0,5,0,78,0,0,0,85,0,0,0,0,0,0,2,1,390,1991-10-20 00:00:00,0,0,4,0,1
,raquel fernandes,296327,,,forward,,,,,160.0,,,brazil,,,,,,,,28,,,,,20,,,,,,8,,,,,,,,,,,,46,,,,,,,,,,1991-03-21 00:00:00,,,,,
0,andressinha,321158,0,2,midfielder,0,3,4,15.5,160.0,0,0,brazil,0,0,0,0,0,61,0,24,2,0,0,0,17,0,1,1,0,1,10,2,2,0,0,0,1,0,46,0,0,0,71,0,0,2,0,0,0,3,0,135,1995-05-01 00:00:00,0,0,2,0,0
0,monica,251055,0,1,defender,4,0,0,40.3,168.0,0,0,brazil,0,0,3,0,0,218,0,32,0,0,0,0,21,0,12,0,0,0,9,0,4,0,2,0,1,0,180,0,0,0,62,0,0,0,0,0,0,2,0,390,1987-04-21 00:00:00,0,0,4,0,0
,tayla,357683,,,defender,,,,,173.0,,,brazil,,,,,,,,27,,,,,4,,,,,,1,,,,,,,,,,,,17,,,,,,,,,,1992-05-09 00:00:00,,,,,
6,cristiane,190362,0,2,forward,6,1,0,28.9,176.0,0,0,brazil,0,0,0,0,0,51,0,34,2,4,0,0,11,0,3,7,2,1,93,2,8,0,0,0,1,0,32,4,0,0,142,0,0,1,0,0,0,1,0,301,1985-05-15 00:00:00,2,0,4,0,0
0,beatriz,296328,1,3,forward,2,1,0,17.5,176.0,0,0,brazil,0,0,1,0,0,49,0,25,1,0,0,0,16,0,1,0,0,0,22,1,3,0,0,0,2,0,29,0,0,0,72,0,0,0,0,0,0,5,0,154,1993-12-17 00:00:00,0,0,4,0,0
0,ludmila,420479,0,1,forward,3,3,0,24.6,163.0,0,0,brazil,0,0,0,0,0,40,0,24,1,3,0,0,19,0,3,0,0,0,1,3,4,0,0,0,4,0,25,0,0,0,16,0,0,0,0,0,0,4,0,231,1994-12-01 00:00:00,0,0,4,0,0
0,leticia santos,357729,1,5,defender,0,7,0,38.2,156.0,0,0,brazil,0,0,0,0,0,136,0,24,1,0,0,0,13,0,13,0,0,0,0,7,1,0,2,0,1,0,91,0,0,0,24,0,0,0,0,0,0,9,0,345,1994-12-02 00:00:00,0,0,4,0,0
0,kathellen,420472,2,2,defender,2,2,0,39,175.0,0,0,brazil,0,0,0,0,0,153,0,23,0,0,0,0,14,0,20,0,0,0,0,6,2,0,3,0,2,0,108,0,0,0,8,0,0,0,0,0,0,7,0,376,1996-04-26 00:00:00,0,0,4,0,0
,leticia,321160,,,goalkeeper,,,,,174.0,,,brazil,,,,,,,,24,,,,,22,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,1994-08-13 00:00:00,,,,,
0,luana,321165,1,0,midfielder,0,1,0,6.3,173.0,0,0,brazil,0,0,1,0,0,20,0,26,1,0,0,0,18,0,2,0,0,0,0,2,1,0,1,0,0,0,15,0,0,0,9,0,0,0,0,0,0,1,0,51,1993-05-02 00:00:00,0,0,2,0,0
0,tamires,215194,1,2,defender,0,14,1,40.6,161.0,0,0,brazil,0,0,0,0,0,272,0,31,1,2,0,0,6,0,16,1,0,1,4,8,1,0,0,0,0,0,205,0,0,0,94,0,0,0,0,0,0,5,0,390,1987-10-10 00:00:00,0,0,4,0,0
0,daiane,398373,1,0,defender,0,0,0,1.8,178.0,0,0,brazil,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,14,1997-09-07 00:00:00,0,0,1,0,0
1,delphine cascarino,358569,0,3,forward,2,14,0,21.6,165.0,0,0,france,0,0,1,0,0,79,0,22,0,0,0,0,20,0,2,1,0,0,3,2,4,0,0,0,2,0,58,0,0,0,18,0,0,0,0,0,0,2,0,182,1997-02-05 00:00:00,0,0,5,0,0
0,grace geyoro,358581,0,2,midfielder,0,0,2,2.2,169.0,0,0,france,0,0,0,0,0,5,0,22,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,5,1997-07-02 00:00:00,0,0,2,0,0
5,valerie gauvin,395230,1,3,forward,7,1,0,37.1,172.0,0,0,france,0,0,1,0,0,57,0,23,2,3,0,0,13,0,2,6,0,1,12,2,11,1,0,0,4,0,43,2,0,0,24,0,0,0,0,0,0,8,0,332,1996-06-01 00:00:00,1,0,5,0,0
0,sakina karchaoui,395231,0,0,defender,0,0,0,0.4,160.0,0,0,france,0,0,0,0,0,3,0,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,2,1996-01-26 00:00:00,0,0,1,0,0
0,sarah bouhaddi,190236,0,2,goalkeeper,0,0,0,23.6,175.0,0,0,france,0,0,0,0,0,85,0,32,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,76.5,64,0,0,0,145,0,0,0,0,0,0,0,0,480,1986-10-17 00:00:00,0,13,5,0,0
